电影名称,别称,导演,主演,年代,地区,影片类型,评分,评价人数,简介
真爱至上,/ 真的恋爱了(港)  /  爱是您，爱是我(台),理查德·柯蒂斯 Richard Curti,休·格兰特 Hugh Grant / 连姆...,,2003,喜剧 剧情 爱情,8.5,,
千钧一发,/ 变种异煞(港)  /  自然人,安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,伊桑·霍克 Ethan Hawke / 乌玛...,,1997,剧情 科幻 惊悚,8.8,,
罗生门,/ Rashomon,黑泽明 Akira Kuro,三船敏郎 To,,1950,剧情 犯罪 悬疑,8.8,,
恋恋笔记本,/ 忘了·忘不了(港)  /  手札情缘(台),尼克·卡索维茨 Nick Ca,瑞恩·高斯林 Ryan Go,,2004,剧情 爱情,8.5,,
彗星来的那一夜,/ 相干性  /  相干效应,詹姆斯·沃德·布柯特 Jame,艾米丽·芭尔多尼 Em...,,2013,科幻 悬疑 惊悚,8.6,,
哈利·波特与凤凰社,/ 哈利波特5：凤凰会的密令(港 / 台),大卫·叶茨 David Yate,丹尼尔·雷德克里夫 Daniel Radcliffe...,,2007,奇幻 冒险,8.5,,
海边的曼彻斯特,/ 情系海边之城(港),肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Ca,卡西·阿弗莱克 Ca,,2016,剧情 家庭,8.6,,
火星救援,/ 火星任务(港)  /  绝地救援(台),雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...,马特·达蒙 Matt Damon / 杰西卡...,,2015,剧情 科幻 冒险,8.5,,
黑客帝国2：重装上阵,/ 22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),拉娜·沃卓斯基 Lana Wachow,,,2003,动作 科幻,8.7,,
奇迹男孩,/ 奇迹,斯蒂芬·卓博斯基 Stephen Chbo,雅各布·特伦布莱 Jacob Tr...,,2017,剧情 儿童 家庭,8.6,,
萤火虫之墓,/ 再见萤火虫(港)  /  萤火挽歌,高畑勋 I,辰己努 / 白石绫乃 / 志乃原良子,,1988,动画 剧情 战争,8.7,,
战争之王,/ 军火之王(台 / 港),安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicola,尼古拉斯·凯奇 Nicola,,2005,剧情 犯罪,8.7,,
千年女优,/ Millennium Actress,今敏 Sato,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,,2001,动画 剧情 爱情,8.8,,
步履不停,/ 横山家之味(港 / 台),是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiro,阿部宽 Hiro,,2008,剧情 家庭,8.8,,
谍影重重2,/ 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengra,马特·达蒙 Matt Damon / ...,,2004,动作 悬疑 惊悚,8.7,,
血钻,/ 血钻石(台)  /  血腥钻石,爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...,莱昂纳多·迪卡普里奥 Leonardo ...,,2006,剧情 惊悚 冒险,8.7,,
蜘蛛侠：平行宇宙,/ 蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),鲍勃·佩尔西凯蒂 Bob Per,,,2018,动作 科幻 动画 冒险,8.6,,
攻壳机动队,/ Ghost in the Shell,押井守 Mamoru O,田中敦子 At,,1995,动作 科幻 动画,9.0,,
魂断蓝桥,/ 滑铁卢桥  /  断桥残梦,茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...,费雯·丽 Vivien Leigh / 罗伯特·...,,1940,剧情 爱情 战争,8.8,,
房间,/ 不存在的房间(台)  /  抖室(港),伦尼·阿伯拉罕森 Lenny Abraham,布丽·拉尔森 Brie Lar,,2015,剧情 家庭,8.8,,
冰雪奇缘,/ 魔雪奇缘(港)  /  冰雪大冒险,克里斯·巴克 Chri,克里斯汀...,,2013,喜剧 动画 奇幻 歌舞,8.5,,
隐藏人物,/ NASA无名英雌(港)  /  关键少数(台),特奥多尔·梅尔菲 Theodore Melfi   主演: 塔拉吉·P·汉森 Taraji P. ...,塔拉吉·P·汉森 Taraji P. ...,,2016,剧情 传记 历史,8.9,,
谍影重重,/ 叛谍追击(港)  /  神鬼认证(台),道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,马特·达蒙 Matt Damon / 弗兰卡·波坦...,,2002,动作 悬疑 惊悚,8.6,,
